pars,dataset,app.mthd,incorp,rmse,me,mae,mbe,er.mn,er.md,n
f9,2,ts,none,0.131,0.4679,0.09305,0.01333,0.2719,0.2571,158
f10,2,ts,none,0.1311,0.4671,0.09378,0.01234,0.2709,0.256,158
f11,2,ts,none,0.1292,0.4824,0.09291,0.008516,0.2671,0.2479,158
f12,2,ts,none,0.1306,0.4706,0.09241,0.01256,0.2712,0.2557,158
f13,2,ts,none,0.1313,0.4649,0.09281,0.01208,0.2707,0.2576,158
f14,2,ts,none,0.1309,0.4685,0.09245,0.01188,0.2705,0.2612,158
f20,2,ts,none,0.1307,0.4702,0.09321,0.01431,0.2729,0.2603,158
f21,2,ts,none,0.1323,0.4568,0.09607,0.01878,0.2774,0.2607,158
f22,2,ts,none,0.1299,0.4767,0.09256,0.01368,0.2723,0.2588,158
f23,2,ts,none,0.1263,0.5056,0.09051,0.01406,0.2727,0.2505,158
f24,2,ts,none,0.1263,0.5055,0.09052,0.01408,0.2727,0.2506,158
f25,2,ts,none,0.1263,0.5053,0.09037,0.01389,0.2725,0.2535,158
f26,2,ts,none,0.1253,0.5133,0.08911,0.01166,0.2703,0.2547,158
f27,2,ts,none,0.1293,0.4813,0.09159,0.01279,0.2714,0.2608,158
f28,2,ts,none,0.1307,0.4699,0.09334,0.01459,0.2732,0.2601,158
f29,2,ts,none,0.1307,0.4699,0.09334,0.01457,0.2732,0.2601,158
ps3,2,ts,none,0.1307,0.4699,0.09334,0.01457,0.2732,0.2601,158
dropweather,2,ts,none,0.1488,0.3132,0.1125,0.01318,0.2718,0.2632,158
dropprop,2,ts,none,0.1685,0.1197,0.1209,0.001838,0.2604,0.2583,158
dropapp,2,ts,none,0.148,0.3203,0.1062,-0.05247,0.2061,0.1779,158
loocv-104,2,ts,none,0.1285,0.4882,0.09204,0.01445,0.273,0.2517,158
loocv-202,2,ts,none,0.1316,0.4626,0.09594,0.02339,0.282,0.2672,158
loocv-203,2,ts,none,0.1282,0.49,0.09173,0.01443,0.273,0.2543,158
loocv-204,2,ts,none,0.1279,0.4925,0.09209,0.01436,0.273,0.2528,158
loocv-205,2,ts,none,0.1283,0.4895,0.09202,0.01496,0.2736,0.2556,158
loocv-206,2,ts,none,0.1284,0.4889,0.0918,0.01417,0.2728,0.2545,158
loocv-207,2,ts,none,0.1287,0.4862,0.09206,0.0143,0.2729,0.2546,158
loocv-208,2,ts,none,0.128,0.4921,0.09217,0.01613,0.2747,0.2538,158
loocv-209,2,ts,none,0.1285,0.4877,0.092,0.0144,0.273,0.2537,158
loocv-210,2,ts,none,0.1284,0.489,0.09183,0.01436,0.273,0.2544,158
loocv-212,2,ts,none,0.1445,0.3519,0.0943,-0.02138,0.2372,0.226,158
loocv-303,2,ts,none,0.1282,0.4904,0.09178,0.01441,0.273,0.2531,158
loocv-304,2,ts,none,0.1282,0.4902,0.09179,0.01442,0.273,0.2531,158
loocv-214,2,ts,none,0.1262,0.5056,0.09353,0.02108,0.2797,0.2498,158
ps1,2,ts,none,0.1388,0.4021,0.1052,-0.007094,0.2515,0.2292,158
ps2,2,ts,none,0.1289,0.4848,0.09235,-6.474e-05,0.2585,0.2395,158
f1,1,os,none,0.08893,0.07493,0.07185,-0.01447,0.1178,0.1122,127
f2,1,os,none,0.08807,0.09279,0.0726,-0.001587,0.1307,0.122,127
f3,1,os,none,0.08684,0.1179,0.07203,-4.675e-05,0.1322,0.1248,127
f4,1,os,none,0.0862,0.1307,0.07153,-0.0009041,0.1314,0.1247,127
f5,1,os,none,0.08616,0.1317,0.07143,-0.0002321,0.1321,0.1258,127
f6,1,os,none,0.08671,0.1204,0.07231,0.001784,0.1341,0.1291,127
f7,1,os,none,0.08647,0.1253,0.07225,0.001463,0.1338,0.1273,127
f8,1,os,none,0.0867,0.1207,0.07233,0.001808,0.1341,0.1292,127
f9,1,os,none,0.08671,0.1205,0.07231,0.00174,0.134,0.129,127
f10,1,os,none,0.08618,0.1312,0.07125,-0.0005464,0.1317,0.126,127
f11,1,os,none,0.08691,0.1164,0.07298,0.003481,0.1358,0.1323,127
f12,1,os,none,0.08669,0.121,0.0723,0.001668,0.134,0.1287,127
f13,1,os,none,0.08691,0.1165,0.07235,0.001944,0.1342,0.1293,127
f14,1,os,none,0.08681,0.1184,0.07232,0.001901,0.1342,0.1287,127
f20,1,os,none,0.08699,0.1149,0.07235,0.0009643,0.1333,0.1293,127
f21,1,os,none,0.08692,0.1163,0.07232,0.001832,0.1341,0.1278,127
f22,1,os,none,0.08685,0.1176,0.07232,0.001502,0.1338,0.1286,127
f23,1,os,none,0.08683,0.1181,0.07234,0.0007698,0.1331,0.128,127
f24,1,os,none,0.08683,0.1181,0.07234,0.000772,0.1331,0.128,127
f25,1,os,none,0.08706,0.1135,0.07243,0.000911,0.1332,0.128,127
f26,1,os,none,0.08678,0.119,0.07233,0.001488,0.1338,0.1285,127
f27,1,os,none,0.08684,0.1179,0.07235,0.001844,0.1341,0.1286,127
f28,1,os,none,0.08694,0.1159,0.07232,0.001081,0.1334,0.1292,127
f29,1,os,none,0.08694,0.1159,0.07232,0.001076,0.1334,0.1292,127
ps3,1,os,none,0.08694,0.1159,0.07232,0.001076,0.1334,0.1292,127
dropweather,1,os,none,0.09058,0.04033,0.07502,-0.0005504,0.1317,0.1295,127
dropprop,1,os,none,0.08697,0.1152,0.07332,0.008846,0.1411,0.1403,127
dropapp,1,os,none,0.09911,-0.1489,0.08136,0.04625,0.1785,0.1671,127
loocv-104,1,os,none,0.08681,0.1185,0.0722,0.000352,0.1326,0.128,127
loocv-202,1,os,none,0.08639,0.127,0.07237,0.002146,0.1344,0.1267,127
loocv-203,1,os,none,0.08682,0.1183,0.07227,0.000593,0.1329,0.1283,127
loocv-204,1,os,none,0.08727,0.1091,0.07223,-0.003544,0.1287,0.1251,127
loocv-205,1,os,none,0.08648,0.1251,0.07224,7.199e-05,0.1324,0.1267,127
loocv-206,1,os,none,0.08681,0.1186,0.07226,0.0004123,0.1327,0.1285,127
loocv-207,1,os,none,0.08671,0.1204,0.07229,5e-04,0.1328,0.1267,127
loocv-208,1,os,none,0.08668,0.1211,0.07229,0.0006667,0.133,0.1286,127
loocv-209,1,os,none,0.08681,0.1184,0.0723,0.0004727,0.1328,0.1283,127
loocv-210,1,os,none,0.0868,0.1186,0.07229,0.0005359,0.1328,0.1285,127
loocv-212,1,os,none,0.08555,0.1439,0.07136,0.00219,0.1345,0.1271,127
loocv-303,1,os,none,0.0868,0.1188,0.07227,0.0004902,0.1328,0.1283,127
loocv-304,1,os,none,0.08684,0.118,0.07229,0.0005259,0.1328,0.1285,127
loocv-214,1,os,none,0.1355,-1.149,0.1099,0.0841,0.2164,0.202,127
ps1,1,os,none,0.09903,-0.1472,0.08154,0.02626,0.1586,0.1546,127
ps2,1,os,none,0.09592,-0.07623,0.07925,0.03106,0.1633,0.1566,127
f1,2,os,none,0.08893,0.07493,0.07185,-0.01447,0.1178,0.1122,127
f2,2,os,none,0.08807,0.09279,0.0726,-0.001587,0.1307,0.122,127
f3,2,os,none,0.08684,0.1179,0.07203,-4.675e-05,0.1322,0.1248,127
f4,2,os,none,0.0862,0.1307,0.07153,-0.0009041,0.1314,0.1247,127
f5,2,os,none,0.08616,0.1317,0.07143,-0.0002321,0.1321,0.1258,127
f6,2,os,none,0.08671,0.1204,0.07231,0.001784,0.1341,0.1291,127
f7,2,os,none,0.104,-0.2649,0.07759,-0.05079,0.08149,0.08264,127
f8,2,os,none,0.0867,0.1207,0.07233,0.001808,0.1341,0.1292,127
f9,2,os,none,0.08671,0.1205,0.07231,0.00174,0.134,0.129,127
f10,2,os,none,0.08618,0.1312,0.07125,-0.0005464,0.1317,0.126,127
f11,2,os,none,0.08691,0.1164,0.07298,0.003481,0.1358,0.1323,127
f12,2,os,none,0.08669,0.121,0.0723,0.001668,0.134,0.1287,127
