iteration,parameter,value,parset
60,app.rate.ni.f0,-0.0126211642167718,3-060
61,app.rate.ni.f0,-0.0336716559817578,3-061
62,app.rate.ni.f0,-0.0188385960393902,3-062
63,app.rate.ni.f0,-0.0465249296163427,3-063
64,app.rate.ni.f0,0.000236457902302423,3-064
65,app.rate.ni.f0,-0.0166000360926373,3-065
66,app.rate.ni.f0,-0.0343241482384788,3-066
67,app.rate.ni.f0,-0.0133408850332134,3-067
68,app.rate.ni.f0,-0.00776866181770879,3-068
69,app.rate.ni.f0,-0.030786494372056,3-069
70,app.rate.ni.f0,-0.0177750336825826,3-070
71,app.rate.ni.f0,0.00777498984610643,3-071
72,app.rate.ni.f0,-0.00871633515636184,3-072
73,app.rate.ni.f0,-0.0103071957482453,3-073
74,app.rate.ni.f0,-0.0183967645891381,3-074
75,app.rate.ni.f0,-0.0200892691465965,3-075
76,app.rate.ni.f0,0.000189010265372287,3-076
77,app.rate.ni.f0,-0.00365840916785572,3-077
78,app.rate.ni.f0,-0.00174104788926428,3-078
79,app.rate.ni.f0,-0.0106419236524795,3-079
80,app.rate.ni.f0,-0.0104470436945833,3-080
81,app.rate.ni.f0,-0.0161488453162652,3-081
82,app.rate.ni.f0,0.00309469439844955,3-082
83,app.rate.ni.f0,-0.00706133253919279,3-083
84,app.rate.ni.f0,-0.0209934279302221,3-084
85,app.rate.ni.f0,-0.000461750455823457,3-085
86,app.rate.ni.f0,-0.00712926835560981,3-086
87,app.rate.ni.f0,-0.0148148198784958,3-087
88,app.rate.ni.f0,-0.00147385242107726,3-088
89,app.rate.ni.f0,-0.0110025781451502,3-089
90,app.rate.ni.f0,-0.00805029179668103,3-090
91,app.rate.ni.f0,-1.3990147945824e-05,3-091
92,app.rate.ni.f0,-0.0040227569050563,3-092
93,app.rate.ni.f0,-0.00631045055169994,3-093
94,app.rate.ni.f0,-0.0173253466622797,3-094
95,app.rate.ni.f0,-0.0136169212448,3-095
96,app.rate.ni.f0,-0.0102998559609678,3-096
97,app.rate.ni.f0,-0.0217100288710728,3-097
98,app.rate.ni.f0,-0.00833997167772762,3-098
99,app.rate.ni.f0,-0.00838461526098869,3-099
100,app.rate.ni.f0,-0.0278960874977613,3-100
1,man.dm.f0,0.432276657437178,3-001
2,man.dm.f0,0.641305940724196,3-002
3,man.dm.f0,0.415816515091475,3-003
4,man.dm.f0,0.674922231733783,3-004
5,man.dm.f0,0.420424127211043,3-005
6,man.dm.f0,0.500535730364736,3-006
7,man.dm.f0,0.366361059472119,3-007
8,man.dm.f0,0.25926163403891,3-008
9,man.dm.f0,0.640553000369573,3-009
10,man.dm.f0,0.563822673901092,3-010
11,man.dm.f0,0.423916004045489,3-011
12,man.dm.f0,0.780886588194798,3-012
13,man.dm.f0,0.382028745101795,3-013
14,man.dm.f0,0.4280963506859,3-014
15,man.dm.f0,0.31510342830414,3-015
16,man.dm.f0,0.6518710825691,3-016
17,man.dm.f0,0.670197193671606,3-017
18,man.dm.f0,0.605532501509961,3-018
19,man.dm.f0,0.450911831483352,3-019
20,man.dm.f0,0.488481947614099,3-020
21,man.dm.f0,0.44826747770184,3-021
22,man.dm.f0,0.580517570051519,3-022
23,man.dm.f0,0.544746223877528,3-023
24,man.dm.f0,1.61202758392052,3-024
25,man.dm.f0,0.670296710081949,3-025
26,man.dm.f0,0.436121226443377,3-026
27,man.dm.f0,0.695545194115729,3-027
28,man.dm.f0,0.412376074259529,3-028
29,man.dm.f0,0.247583497269264,3-029
30,man.dm.f0,0.548909615975249,3-030
31,man.dm.f0,0.372729656397897,3-031
32,man.dm.f0,0.342036812306108,3-032
33,man.dm.f0,0.667838275819228,3-033
34,man.dm.f0,0.442360976660028,3-034
35,man.dm.f0,0.57118060777996,3-035
36,man.dm.f0,0.44193678775351,3-036
37,man.dm.f0,0.346056187789598,3-037
38,man.dm.f0,0.436698187124591,3-038
39,man.dm.f0,0.457515709153245,3-039
40,man.dm.f0,0.734995407885219,3-040
41,man.dm.f0,0.437464873821775,3-041
42,man.dm.f0,0.552400067334235,3-042
43,man.dm.f0,0.781557765568176,3-043
44,man.dm.f0,0.151788473597608,3-044
45,man.dm.f0,0.48978823796184,3-045
46,man.dm.f0,0.484012815648197,3-046
47,man.dm.f0,0.799203412679434,3-047
48,man.dm.f0,0.502239304149586,3-048
49,man.dm.f0,0.610253183445267,3-049
50,man.dm.f0,0.546559420995672,3-050
51,man.dm.f0,0.590601033183599,3-051
52,man.dm.f0,0.351486642041219,3-052
53,man.dm.f0,0.331091156414591,3-053
54,man.dm.f0,0.592811421069449,3-054
55,man.dm.f0,0.708420827568894,3-055
56,man.dm.f0,0.66707710132656,3-056
57,man.dm.f0,0.644573826834586,3-057
58,man.dm.f0,0.89314741092726,3-058
59,man.dm.f0,0.613216573906084,3-059
60,man.dm.f0,0.467180422549885,3-060
61,man.dm.f0,0.820129198536671,3-061
62,man.dm.f0,0.537125514909584,3-062
63,man.dm.f0,0.80548036558985,3-063
64,man.dm.f0,0.556563338701503,3-064
65,man.dm.f0,0.544086505617839,3-065
66,man.dm.f0,0.702399276551587,3-066
67,man.dm.f0,0.486365951680706,3-067
68,man.dm.f0,0.469759677487333,3-068
69,man.dm.f0,0.677389726395093,3-069
70,man.dm.f0,0.524403296285382,3-070
71,man.dm.f0,0.477555860024925,3-071
72,man.dm.f0,0.722480949614261,3-072
