parameter,iteration,value,parset,value.ps3
int.f0,44,0.775708463973828,3-044,0.453054505861782
int.f0,45,0.88620588135275,3-045,0.453054505861782
int.f0,46,0.973726203376834,3-046,0.453054505861782
int.f0,47,0.790926335749393,3-047,0.453054505861782
int.f0,48,0.679414655158337,3-048,0.453054505861782
int.f0,49,-0.0764814648619407,3-049,0.453054505861782
int.f0,50,0.220995545201701,3-050,0.453054505861782
int.f0,51,0.616191447008017,3-051,0.453054505861782
int.f0,52,0.457509849986611,3-052,0.453054505861782
int.f0,53,0.607852036742226,3-053,0.453054505861782
int.f0,54,0.706220661807516,3-054,0.453054505861782
int.f0,55,0.432582981084094,3-055,0.453054505861782
int.f0,56,0.552679493751117,3-056,0.453054505861782
int.f0,57,0.487027006915988,3-057,0.453054505861782
int.f0,58,0.898943494566561,3-058,0.453054505861782
int.f0,59,0.231321568222763,3-059,0.453054505861782
int.f0,60,0.934535404092689,3-060,0.453054505861782
int.f0,61,0.540151975348634,3-061,0.453054505861782
int.f0,62,0.406719325345235,3-062,0.453054505861782
int.f0,63,0.456059414043997,3-063,0.453054505861782
int.f0,64,0.743727266349837,3-064,0.453054505861782
int.f0,65,0.81914416117264,3-065,0.453054505861782
int.f0,66,0.181307473304206,3-066,0.453054505861782
int.f0,67,0.884643203745072,3-067,0.453054505861782
int.f0,68,0.38021344724173,3-068,0.453054505861782
int.f0,69,0.756267361024932,3-069,0.453054505861782
int.f0,70,-0.0115194306420349,3-070,0.453054505861782
int.f0,71,0.573448294646941,3-071,0.453054505861782
int.f0,72,0.984825706944645,3-072,0.453054505861782
int.f0,73,1.34866697792913,3-073,0.453054505861782
int.f0,74,0.221488505552509,3-074,0.453054505861782
int.f0,75,1.52075819392693,3-075,0.453054505861782
int.f0,76,0.119214416402786,3-076,0.453054505861782
int.f0,77,1.04451159534923,3-077,0.453054505861782
int.f0,78,0.620255836371238,3-078,0.453054505861782
int.f0,79,0.631220793550745,3-079,0.453054505861782
int.f0,80,-0.408130222842591,3-080,0.453054505861782
int.f0,81,0.423269906916909,3-081,0.453054505861782
int.f0,82,0.506594218537526,3-082,0.453054505861782
int.f0,83,0.664279828976651,3-083,0.453054505861782
int.f0,84,-0.697436015932338,3-084,0.453054505861782
int.f0,85,0.647189990201646,3-085,0.453054505861782
int.f0,86,0.557511318244958,3-086,0.453054505861782
int.f0,87,0.765675806296609,3-087,0.453054505861782
int.f0,88,0.487975951486772,3-088,0.453054505861782
int.f0,89,0.544819790641619,3-089,0.453054505861782
int.f0,90,0.454257901209023,3-090,0.453054505861782
int.f0,91,0.413418675667018,3-091,0.453054505861782
int.f0,92,0.390229112958796,3-092,0.453054505861782
int.f0,93,0.450974104345887,3-093,0.453054505861782
int.f0,94,0.601724115528443,3-094,0.453054505861782
int.f0,95,0.898855238839957,3-095,0.453054505861782
int.f0,96,0.633597070345957,3-096,0.453054505861782
int.f0,97,0.150054287275953,3-097,0.453054505861782
int.f0,98,0.21293450209689,3-098,0.453054505861782
int.f0,99,0.253993235136191,3-099,0.453054505861782
int.f0,100,0.651666505359981,3-100,0.453054505861782
app.mthd.os.f0,1,-1.68204418355036,3-001,-2.89718048754159
app.mthd.os.f0,2,-2.50519922939097,3-002,-2.89718048754159
app.mthd.os.f0,3,-2.88269012275526,3-003,-2.89718048754159
app.mthd.os.f0,4,-2.63031492901403,3-004,-2.89718048754159
app.mthd.os.f0,5,-2.82130332509963,3-005,-2.89718048754159
app.mthd.os.f0,6,-3.43338963413246,3-006,-2.89718048754159
app.mthd.os.f0,7,-3.06781053784023,3-007,-2.89718048754159
app.mthd.os.f0,8,-1.65836720354411,3-008,-2.89718048754159
app.mthd.os.f0,9,-2.22706830120534,3-009,-2.89718048754159
app.mthd.os.f0,10,-3.04828115133887,3-010,-2.89718048754159
app.mthd.os.f0,11,-2.97255791355527,3-011,-2.89718048754159
app.mthd.os.f0,12,-3.58825146395487,3-012,-2.89718048754159
app.mthd.os.f0,13,-2.39522546026513,3-013,-2.89718048754159
app.mthd.os.f0,14,-2.28513645255801,3-014,-2.89718048754159
app.mthd.os.f0,15,-2.48765226318409,3-015,-2.89718048754159
app.mthd.os.f0,16,-1.59477386582409,3-016,-2.89718048754159
app.mthd.os.f0,17,-0.20090972599222,3-017,-2.89718048754159
app.mthd.os.f0,18,-2.89432309907685,3-018,-2.89718048754159
app.mthd.os.f0,19,-2.81620265013893,3-019,-2.89718048754159
app.mthd.os.f0,20,-2.34389054727616,3-020,-2.89718048754159
app.mthd.os.f0,21,-2.85844673097932,3-021,-2.89718048754159
app.mthd.os.f0,22,-3.50990643302492,3-022,-2.89718048754159
app.mthd.os.f0,23,-1.14473673905459,3-023,-2.89718048754159
app.mthd.os.f0,24,-2.84357609542614,3-024,-2.89718048754159
app.mthd.os.f0,25,-2.85869891451794,3-025,-2.89718048754159
app.mthd.os.f0,26,-2.60434037153004,3-026,-2.89718048754159
app.mthd.os.f0,27,-1.64029742415515,3-027,-2.89718048754159
app.mthd.os.f0,28,-3.24688214970806,3-028,-2.89718048754159
app.mthd.os.f0,29,-2.22876168096008,3-029,-2.89718048754159
app.mthd.os.f0,30,-3.03483257079002,3-030,-2.89718048754159
app.mthd.os.f0,31,-1.30277522114173,3-031,-2.89718048754159
app.mthd.os.f0,32,-1.6823562559794,3-032,-2.89718048754159
app.mthd.os.f0,33,-2.87956290836106,3-033,-2.89718048754159
app.mthd.os.f0,34,-2.51436073349528,3-034,-2.89718048754159
app.mthd.os.f0,35,-2.92238123329996,3-035,-2.89718048754159
app.mthd.os.f0,36,-2.0405473703711,3-036,-2.89718048754159
app.mthd.os.f0,37,-1.21348869636457,3-037,-2.89718048754159
app.mthd.os.f0,38,-3.07524219878817,3-038,-2.89718048754159
app.mthd.os.f0,39,-2.86886628777561,3-039,-2.89718048754159
app.mthd.os.f0,40,-3.10366034969828,3-040,-2.89718048754159
app.mthd.os.f0,41,-3.19641680776698,3-041,-2.89718048754159
app.mthd.os.f0,42,-1.96900411332594,3-042,-2.89718048754159
app.mthd.os.f0,43,-2.05685165157842,3-043,-2.89718048754159
app.mthd.os.f0,44,-2.46807336510911,3-044,-2.89718048754159
app.mthd.os.f0,45,-2.75730170556949,3-045,-2.89718048754159
app.mthd.os.f0,46,-2.2837479868926,3-046,-2.89718048754159
app.mthd.os.f0,47,-3.02392215264933,3-047,-2.89718048754159
app.mthd.os.f0,48,-2.6708171037454,3-048,-2.89718048754159
app.mthd.os.f0,49,-1.31901216447721,3-049,-2.89718048754159
app.mthd.os.f0,50,-1.59374447052867,3-050,-2.89718048754159
app.mthd.os.f0,51,-2.35497140443971,3-051,-2.89718048754159
app.mthd.os.f0,52,-3.34401298620963,3-052,-2.89718048754159
app.mthd.os.f0,53,-2.67849827211257,3-053,-2.89718048754159
app.mthd.os.f0,54,-2.96176158605139,3-054,-2.89718048754159
app.mthd.os.f0,55,-2.11918357756173,3-055,-2.89718048754159
app.mthd.os.f0,56,-3.25546126991058,3-056,-2.89718048754159
app.mthd.os.f0,57,-3.21264266798383,3-057,-2.89718048754159
app.mthd.os.f0,58,-3.16956686847064,3-058,-2.89718048754159
app.mthd.os.f0,59,-2.16379239795815,3-059,-2.89718048754159
app.mthd.os.f0,60,-2.89492334270769,3-060,-2.89718048754159
app.mthd.os.f0,61,-3.18442905146751,3-061,-2.89718048754159
app.mthd.os.f0,62,-3.08272480579705,3-062,-2.89718048754159
app.mthd.os.f0,63,-2.8308502512508,3-063,-2.89718048754159
app.mthd.os.f0,64,-3.14624884934552,3-064,-2.89718048754159
app.mthd.os.f0,65,-2.3346113455165,3-065,-2.89718048754159
app.mthd.os.f0,66,-2.39391026411834,3-066,-2.89718048754159
app.mthd.os.f0,67,-2.85146229653666,3-067,-2.89718048754159
app.mthd.os.f0,68,-2.75017907690043,3-068,-2.89718048754159
app.mthd.os.f0,69,-3.46581189556914,3-069,-2.89718048754159
app.mthd.os.f0,70,-1.49978856554508,3-070,-2.89718048754159
app.mthd.os.f0,71,-3.2972265148677,3-071,-2.89718048754159
app.mthd.os.f0,72,-2.91952224974288,3-072,-2.89718048754159
app.mthd.os.f0,73,-2.95975527664012,3-073,-2.89718048754159
app.mthd.os.f0,74,-2.94853632380096,3-074,-2.89718048754159
app.mthd.os.f0,75,-1.55095002036369,3-075,-2.89718048754159
app.mthd.os.f0,76,-2.77861298563143,3-076,-2.89718048754159
app.mthd.os.f0,77,-2.22940144252396,3-077,-2.89718048754159
app.mthd.os.f0,78,-3.35681862960567,3-078,-2.89718048754159
app.mthd.os.f0,79,-2.12756990650073,3-079,-2.89718048754159
app.mthd.os.f0,80,-1.57805514716914,3-080,-2.89718048754159
app.mthd.os.f0,81,-2.89821585307299,3-081,-2.89718048754159
app.mthd.os.f0,82,-2.84231988319347,3-082,-2.89718048754159
app.mthd.os.f0,83,-2.61584888251894,3-083,-2.89718048754159
app.mthd.os.f0,84,-0.84973367170255,3-084,-2.89718048754159
app.mthd.os.f0,85,-3.32541773651722,3-085,-2.89718048754159
app.mthd.os.f0,86,-3.70863893168218,3-086,-2.89718048754159
app.mthd.os.f0,87,-2.79142916787472,3-087,-2.89718048754159
app.mthd.os.f0,88,-2.95572660731529,3-088,-2.89718048754159
app.mthd.os.f0,89,-1.80555984828661,3-089,-2.89718048754159
app.mthd.os.f0,90,-3.26603695687624,3-090,-2.89718048754159
app.mthd.os.f0,91,-3.09396224831904,3-091,-2.89718048754159
app.mthd.os.f0,92,-1.76500204255995,3-092,-2.89718048754159
app.mthd.os.f0,93,-2.10812535939409,3-093,-2.89718048754159
app.mthd.os.f0,94,-3.2096216072526,3-094,-2.89718048754159
app.mthd.os.f0,95,-2.15100297439695,3-095,-2.89718048754159
app.mthd.os.f0,96,-3.03985309660021,3-096,-2.89718048754159
app.mthd.os.f0,97,-2.94385138819247,3-097,-2.89718048754159
app.mthd.os.f0,98,-2.68453162247132,3-098,-2.89718048754159
app.mthd.os.f0,99,-2.82051904599961,3-099,-2.89718048754159
app.mthd.os.f0,100,-3.17695181657831,3-100,-2.89718048754159
man.dm.f0,1,0.593836097402177,3-001,0.499561755333794
man.dm.f0,2,0.819066206059221,3-002,0.499561755333794
man.dm.f0,3,0.759747673442358,3-003,0.499561755333794
man.dm.f0,4,0.527375814105227,3-004,0.499561755333794
man.dm.f0,5,0.497521920303366,3-005,0.499561755333794
man.dm.f0,6,0.68419658389098,3-006,0.499561755333794
man.dm.f0,7,0.549150505647348,3-007,0.499561755333794
man.dm.f0,8,0.491007639643208,3-008,0.499561755333794
man.dm.f0,9,0.496461993872446,3-009,0.499561755333794
man.dm.f0,10,0.595787945250268,3-010,0.499561755333794
man.dm.f0,11,0.499203723043006,3-011,0.499561755333794
man.dm.f0,12,0.50931212054505,3-012,0.499561755333794
man.dm.f0,13,0.446669903569783,3-013,0.499561755333794
man.dm.f0,14,0.285399804910403,3-014,0.499561755333794
man.dm.f0,15,0.473745591484794,3-015,0.499561755333794
man.dm.f0,16,0.651306973142573,3-016,0.499561755333794
man.dm.f0,17,1.34519549752527,3-017,0.499561755333794
man.dm.f0,18,0.86888539559422,3-018,0.499561755333794
man.dm.f0,19,0.552434500154099,3-019,0.499561755333794
man.dm.f0,20,0.716945044641597,3-020,0.499561755333794
man.dm.f0,21,0.523610894814145,3-021,0.499561755333794
man.dm.f0,22,0.525876916523256,3-022,0.499561755333794
man.dm.f0,23,0.502316849232177,3-023,0.499561755333794
man.dm.f0,24,0.479183483532774,3-024,0.499561755333794
man.dm.f0,25,0.437102370863643,3-025,0.499561755333794
man.dm.f0,26,0.329807157224538,3-026,0.499561755333794
man.dm.f0,27,0.682180788012918,3-027,0.499561755333794
man.dm.f0,28,0.716235034917733,3-028,0.499561755333794
man.dm.f0,29,0.465855771243688,3-029,0.499561755333794
man.dm.f0,30,0.527856001797619,3-030,0.499561755333794
man.dm.f0,31,0.638926217722939,3-031,0.499561755333794
man.dm.f0,32,0.0512377760566732,3-032,0.499561755333794
man.dm.f0,33,0.461986756683843,3-033,0.499561755333794
man.dm.f0,34,0.134538633535577,3-034,0.499561755333794
man.dm.f0,35,0.563487086383783,3-035,0.499561755333794
man.dm.f0,36,0.558765230561763,3-036,0.499561755333794
man.dm.f0,37,0.751424960631336,3-037,0.499561755333794
man.dm.f0,38,0.422302621835421,3-038,0.499561755333794
man.dm.f0,39,0.592266791732284,3-039,0.499561755333794
man.dm.f0,40,0.598720925664606,3-040,0.499561755333794
man.dm.f0,41,0.413451085068903,3-041,0.499561755333794
man.dm.f0,42,0.524766969890333,3-042,0.499561755333794
man.dm.f0,43,0.506522426960742,3-043,0.499561755333794
man.dm.f0,44,0.541165131093879,3-044,0.499561755333794
man.dm.f0,45,0.389572387839573,3-045,0.499561755333794
man.dm.f0,46,0.419291899275652,3-046,0.499561755333794
man.dm.f0,47,0.423904474827433,3-047,0.499561755333794
man.dm.f0,48,0.453955541489793,3-048,0.499561755333794
man.dm.f0,49,0.58883942392288,3-049,0.499561755333794
man.dm.f0,50,0.686040479846036,3-050,0.499561755333794
man.dm.f0,51,0.479148239006906,3-051,0.499561755333794
man.dm.f0,52,0.611227123683614,3-052,0.499561755333794
man.dm.f0,53,0.54667313578964,3-053,0.499561755333794
man.dm.f0,54,0.49703031940092,3-054,0.499561755333794
man.dm.f0,55,0.618580291319121,3-055,0.499561755333794
man.dm.f0,56,0.581175183219579,3-056,0.499561755333794
man.dm.f0,57,0.551180941520664,3-057,0.499561755333794
man.dm.f0,58,0.456673483871821,3-058,0.499561755333794
man.dm.f0,59,0.578379685408247,3-059,0.499561755333794
man.dm.f0,60,0.368093436769483,3-060,0.499561755333794
man.dm.f0,61,0.480329834316358,3-061,0.499561755333794
man.dm.f0,62,0.522649097313453,3-062,0.499561755333794
man.dm.f0,63,0.516737717134341,3-063,0.499561755333794
man.dm.f0,64,0.578204044284981,3-064,0.499561755333794
man.dm.f0,65,0.20217004006035,3-065,0.499561755333794
man.dm.f0,66,0.352913114258919,3-066,0.499561755333794
man.dm.f0,67,0.503520487976214,3-067,0.499561755333794
man.dm.f0,68,0.503714561099738,3-068,0.499561755333794
man.dm.f0,69,0.497526445432289,3-069,0.499561755333794
man.dm.f0,70,0.548566142041851,3-070,0.499561755333794
man.dm.f0,71,0.543178109614775,3-071,0.499561755333794
man.dm.f0,72,0.601360739127559,3-072,0.499561755333794
man.dm.f0,73,0.719775522131557,3-073,0.499561755333794
man.dm.f0,74,0.522079699262812,3-074,0.499561755333794
man.dm.f0,75,0.572721589894266,3-075,0.499561755333794
man.dm.f0,76,0.534511773917406,3-076,0.499561755333794
man.dm.f0,77,0.50579109873527,3-077,0.499561755333794
man.dm.f0,78,0.578458088750234,3-078,0.499561755333794
man.dm.f0,79,0.70312537047767,3-079,0.499561755333794
man.dm.f0,80,0.609035188792127,3-080,0.499561755333794
man.dm.f0,81,0.51385674144661,3-081,0.499561755333794
man.dm.f0,82,0.485962146268736,3-082,0.499561755333794
man.dm.f0,83,0.463275509122762,3-083,0.499561755333794
man.dm.f0,84,0.637991448700405,3-084,0.499561755333794
man.dm.f0,85,0.508118649654504,3-085,0.499561755333794
man.dm.f0,86,0.665606071593686,3-086,0.499561755333794
man.dm.f0,87,0.456162319406968,3-087,0.499561755333794
man.dm.f0,88,0.512987953353981,3-088,0.499561755333794
man.dm.f0,89,0.453950664343805,3-089,0.499561755333794
man.dm.f0,90,0.633356344744383,3-090,0.499561755333794
man.dm.f0,91,0.537443489014069,3-091,0.499561755333794
man.dm.f0,92,0.567976431767668,3-092,0.499561755333794
man.dm.f0,93,0.530090024805482,3-093,0.499561755333794
man.dm.f0,94,0.575216583943239,3-094,0.499561755333794
man.dm.f0,95,0.619814589124566,3-095,0.499561755333794
man.dm.f0,96,0.563018537789296,3-096,0.499561755333794
man.dm.f0,97,0.563642785439543,3-097,0.499561755333794
man.dm.f0,98,0.45918638424043,3-098,0.499561755333794
man.dm.f0,99,0.463203408529238,3-099,0.499561755333794
man.dm.f0,100,0.538699255997499,3-100,0.499561755333794
man.source.pig.f0,1,-0.0791415667700434,3-001,-0.952138037391517
man.source.pig.f0,2,0.143396021330378,3-002,-0.952138037391517
man.source.pig.f0,3,-0.489352003095632,3-003,-0.952138037391517
man.source.pig.f0,4,-0.715691649658386,3-004,-0.952138037391517
man.source.pig.f0,5,-0.90240236116115,3-005,-0.952138037391517
man.source.pig.f0,6,-1.00757722058592,3-006,-0.952138037391517
man.source.pig.f0,7,-0.974392997943056,3-007,-0.952138037391517
man.source.pig.f0,8,-0.250430274407465,3-008,-0.952138037391517
man.source.pig.f0,9,-0.906403519993633,3-009,-0.952138037391517
man.source.pig.f0,10,-1.02539023388083,3-010,-0.952138037391517
man.source.pig.f0,11,-0.969637903956743,3-011,-0.952138037391517
man.source.pig.f0,12,-1.36954922324767,3-012,-0.952138037391517
man.source.pig.f0,13,-0.827182085632677,3-013,-0.952138037391517
man.source.pig.f0,14,-0.715895260607503,3-014,-0.952138037391517
man.source.pig.f0,15,-0.939727399820014,3-015,-0.952138037391517
man.source.pig.f0,16,-0.282947566750591,3-016,-0.952138037391517
man.source.pig.f0,17,-0.895757989979804,3-017,-0.952138037391517
man.source.pig.f0,18,-0.397809461468083,3-018,-0.952138037391517
man.source.pig.f0,19,-0.833124505193172,3-019,-0.952138037391517
man.source.pig.f0,20,-1.02675930512708,3-020,-0.952138037391517
man.source.pig.f0,21,-0.917959764169607,3-021,-0.952138037391517
man.source.pig.f0,22,-1.1116937891631,3-022,-0.952138037391517
man.source.pig.f0,23,-0.281803405608634,3-023,-0.952138037391517
man.source.pig.f0,24,-1.11154292989634,3-024,-0.952138037391517
man.source.pig.f0,25,-0.683574803908876,3-025,-0.952138037391517
man.source.pig.f0,26,-0.912952352193515,3-026,-0.952138037391517
man.source.pig.f0,27,-0.0404968315157703,3-027,-0.952138037391517
man.source.pig.f0,28,-0.96358698541228,3-028,-0.952138037391517
man.source.pig.f0,29,-0.753248384575096,3-029,-0.952138037391517
man.source.pig.f0,30,-0.86765562942452,3-030,-0.952138037391517
man.source.pig.f0,31,-0.0644321547886746,3-031,-0.952138037391517
man.source.pig.f0,32,-0.692117614216926,3-032,-0.952138037391517
man.source.pig.f0,33,-1.21947135883765,3-033,-0.952138037391517
man.source.pig.f0,34,-1.36547225150603,3-034,-0.952138037391517
man.source.pig.f0,35,-0.919393734850092,3-035,-0.952138037391517
man.source.pig.f0,36,-0.682531619324708,3-036,-0.952138037391517
man.source.pig.f0,37,-0.949929876246322,3-037,-0.952138037391517
man.source.pig.f0,38,-0.978356560534756,3-038,-0.952138037391517
man.source.pig.f0,39,-0.990048374096784,3-039,-0.952138037391517
man.source.pig.f0,40,-0.884534036243431,3-040,-0.952138037391517
man.source.pig.f0,41,-1.11306972586737,3-041,-0.952138037391517
man.source.pig.f0,42,-0.465882685749597,3-042,-0.952138037391517
man.source.pig.f0,43,-0.740612978862612,3-043,-0.952138037391517
man.source.pig.f0,44,-0.715964474351076,3-044,-0.952138037391517
man.source.pig.f0,45,-1.01712524830896,3-045,-0.952138037391517
man.source.pig.f0,46,-0.966395223616845,3-046,-0.952138037391517
man.source.pig.f0,47,-0.981286118233859,3-047,-0.952138037391517
man.source.pig.f0,48,-0.687848529442078,3-048,-0.952138037391517
man.source.pig.f0,49,-0.110540101820374,3-049,-0.952138037391517
man.source.pig.f0,50,0.261364835964439,3-050,-0.952138037391517
man.source.pig.f0,51,-0.917412623694398,3-051,-0.952138037391517
man.source.pig.f0,52,-1.14711418070061,3-052,-0.952138037391517
man.source.pig.f0,53,-0.976878949606659,3-053,-0.952138037391517
man.source.pig.f0,54,-0.677902310379478,3-054,-0.952138037391517
man.source.pig.f0,55,-0.179725259900923,3-055,-0.952138037391517
man.source.pig.f0,56,-1.17534588563708,3-056,-0.952138037391517
man.source.pig.f0,57,-0.921693890033807,3-057,-0.952138037391517
man.source.pig.f0,58,-1.12562177265536,3-058,-0.952138037391517
man.source.pig.f0,59,-0.242421526840096,3-059,-0.952138037391517
man.source.pig.f0,60,-0.891356335214268,3-060,-0.952138037391517
man.source.pig.f0,61,-1.04165484154711,3-061,-0.952138037391517
man.source.pig.f0,62,-0.828278894094371,3-062,-0.952138037391517
man.source.pig.f0,63,-0.881258831365444,3-063,-0.952138037391517
man.source.pig.f0,64,-1.02397895001648,3-064,-0.952138037391517
man.source.pig.f0,65,-0.564200054253431,3-065,-0.952138037391517
man.source.pig.f0,66,-0.955546421483205,3-066,-0.952138037391517
man.source.pig.f0,67,-0.781667790358235,3-067,-0.952138037391517
man.source.pig.f0,68,-0.965463955902165,3-068,-0.952138037391517
man.source.pig.f0,69,-1.24498301218054,3-069,-0.952138037391517
man.source.pig.f0,70,-0.499139671498654,3-070,-0.952138037391517
man.source.pig.f0,71,-1.03066682226247,3-071,-0.952138037391517
man.source.pig.f0,72,-0.857531949254659,3-072,-0.952138037391517
man.source.pig.f0,73,-0.557680313961075,3-073,-0.952138037391517
man.source.pig.f0,74,-0.941176528693285,3-074,-0.952138037391517
man.source.pig.f0,75,-1.15080289974845,3-075,-0.952138037391517
man.source.pig.f0,76,-0.840783468567177,3-076,-0.952138037391517
man.source.pig.f0,77,-0.824621116759124,3-077,-0.952138037391517
man.source.pig.f0,78,-1.01411623771024,3-078,-0.952138037391517
man.source.pig.f0,79,0.0634658518358315,3-079,-0.952138037391517
man.source.pig.f0,80,-0.410259712094996,3-080,-0.952138037391517
man.source.pig.f0,81,-0.934237878632654,3-081,-0.952138037391517
man.source.pig.f0,82,-1.00364525671729,3-082,-0.952138037391517
man.source.pig.f0,83,-0.65156125941796,3-083,-0.952138037391517
man.source.pig.f0,84,-0.0896546603495757,3-084,-0.952138037391517
man.source.pig.f0,85,-0.856809676267091,3-085,-0.952138037391517
man.source.pig.f0,86,-0.951172890493068,3-086,-0.952138037391517
man.source.pig.f0,87,-0.820746467541604,3-087,-0.952138037391517
man.source.pig.f0,88,-0.947262415504668,3-088,-0.952138037391517
man.source.pig.f0,89,-0.53368034659961,3-089,-0.952138037391517
man.source.pig.f0,90,-1.11031059744535,3-090,-0.952138037391517
man.source.pig.f0,91,-0.962832455228734,3-091,-0.952138037391517
man.source.pig.f0,92,-0.178603035773168,3-092,-0.952138037391517
man.source.pig.f0,93,-0.984474394355301,3-093,-0.952138037391517
man.source.pig.f0,94,-1.18053845098436,3-094,-0.952138037391517
man.source.pig.f0,95,-0.517866894989398,3-095,-0.952138037391517
man.source.pig.f0,96,-0.969795644651921,3-096,-0.952138037391517
man.source.pig.f0,97,-0.835283897931395,3-097,-0.952138037391517
man.source.pig.f0,98,-0.86442992411606,3-098,-0.952138037391517
man.source.pig.f0,99,-0.825898204501673,3-099,-0.952138037391517
man.source.pig.f0,100,-1.13056521961468,3-100,-0.952138037391517
app.mthd.cs.f0,1,-3.15033865528959,3-001,-7.09642527728471
app.mthd.cs.f0,2,-7.57610612684246,3-002,-7.09642527728471
app.mthd.cs.f0,3,-8.05062961878301,3-003,-7.09642527728471
app.mthd.cs.f0,4,-5.88461511922149,3-004,-7.09642527728471
app.mthd.cs.f0,5,-3.43415565922756,3-005,-7.09642527728471
app.mthd.cs.f0,6,-7.7706581630973,3-006,-7.09642527728471
app.mthd.cs.f0,7,-5.83161419145419,3-007,-7.09642527728471
app.mthd.cs.f0,8,-8.65502397544036,3-008,-7.09642527728471
app.mthd.cs.f0,9,-6.73380599273093,3-009,-7.09642527728471
app.mthd.cs.f0,10,-13.8289512333254,3-010,-7.09642527728471
app.mthd.cs.f0,11,-9.28736310468164,3-011,-7.09642527728471
app.mthd.cs.f0,12,-7.12317698854374,3-012,-7.09642527728471
app.mthd.cs.f0,13,-4.65376152666723,3-013,-7.09642527728471
app.mthd.cs.f0,14,-4.40657534832105,3-014,-7.09642527728471
app.mthd.cs.f0,15,-5.57043348503413,3-015,-7.09642527728471
app.mthd.cs.f0,16,-11.0206449731714,3-016,-7.09642527728471
app.mthd.cs.f0,17,-7.09642527728471,3-017,-7.09642527728471
app.mthd.cs.f0,18,-5.30917090932603,3-018,-7.09642527728471
app.mthd.cs.f0,19,-12.6928454641188,3-019,-7.09642527728471
app.mthd.cs.f0,20,-7.09642527728471,3-020,-7.09642527728471
app.mthd.cs.f0,21,-5.8076220672877,3-021,-7.09642527728471
app.mthd.cs.f0,22,-8.86455903039874,3-022,-7.09642527728471
app.mthd.cs.f0,23,-7.13381157444137,3-023,-7.09642527728471
app.mthd.cs.f0,24,-9.45711962526976,3-024,-7.09642527728471
app.mthd.cs.f0,25,-6.59558446326298,3-025,-7.09642527728471
app.mthd.cs.f0,26,-5.78633251960976,3-026,-7.09642527728471
app.mthd.cs.f0,27,-3.42522706735842,3-027,-7.09642527728471
app.mthd.cs.f0,28,-11.9029692492715,3-028,-7.09642527728471
app.mthd.cs.f0,29,-4.09830172735572,3-029,-7.09642527728471
app.mthd.cs.f0,30,-6.25663527273118,3-030,-7.09642527728471
app.mthd.cs.f0,31,-10.9736195076509,3-031,-7.09642527728471
app.mthd.cs.f0,32,-4.2394084197279,3-032,-7.09642527728471
app.mthd.cs.f0,33,-5.3145850206236,3-033,-7.09642527728471
app.mthd.cs.f0,34,-6.35845868290754,3-034,-7.09642527728471
app.mthd.cs.f0,35,-4.7081976292231,3-035,-7.09642527728471
app.mthd.cs.f0,36,-5.17160770870202,3-036,-7.09642527728471
app.mthd.cs.f0,37,-7.09642527728471,3-037,-7.09642527728471
