sida,pars,ct,sid,descrip,omit,man.source,man.dm,man.ph,man.tan,man.treat1,app.rate,tan.app,cereal.hght,incorp,time.incorp,air.temp,wind.2m,rain.rate,app.mthd,dt.x,rain.cum,app.rate.ni,man.dm.ni,wind.sqrt,app.mthd.ts,app.mthd.bc,app.mthd.os,app.mthd.cs,incorp.shallow,incorp.deep,man.source.pig,__group,__orig.order,__add.row,__f4,app.mthd.bsth,incorp.none,meas.tech.mm,nmax,km,j,er.int,er,dt.y,f,s,e,ei,f0,r1,r2,r3,f4,r5,jinst,n,lwr,upr
11bsth,ps02,168,11,warm,0,cat,6,7.5,1.2,none,40,48,0,none,,20,2.7,0,bsth,1,0,40,6,1.6431676725155,0,0,0,0,0,0,0,11bsth,8736,FALSE,1,1,1,1,,,0.0193115364674057,,0.319450839426868,1,3.001471552999e-28,32.6663597075103,15.3336402924897,0.0193115364674057,0.258909644928267,0.376342771772152,0.0158786853066665,0.000591000363671547,1,0,0.0193058304669642,,,
11bsth,ps03,168,11,warm,0,cat,6,7.5,1.2,none,40,48,0,none,,20,2.7,0,bsth,1,0,40,6,1.6431676725155,0,0,0,0,0,0,0,11bsth,8736,FALSE,1,1,1,1,,,0.00339166145248626,,0.371221334880125,1,2.11990093373784e-07,1.86532818407036,17.818624074246,0.00339166145248626,0.613594438864687,0.0553186000342169,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00336181552174138,100,0.27663456934028,0.44071818101956
11cs,ALFAM,168,11,warm,0,cat,6,7.5,1.2,none,40,48,0,none,,20,2.7,0,cs,1,0,0,0,1.6431676725155,0,0,0,1,0,0,0,11cs,9240,FALSE,1,0,1,1,0.375205125766054,4.83449873142028,6.10772421075767e-05,6.10772421075767e-05,0.364709948484595,,,,,,,,,,,,,,,
11cs,ps01,168,11,warm,0,cat,6,7.5,1.2,none,40,48,0,none,,20,2.7,0,cs,1,0,0,0,1.6431676725155,0,0,0,1,0,0,0,11cs,9240,FALSE,1,0,1,1,,,0.0480763810677836,,0.376347849687599,1,2.42879025271519e-18,29.9353032149953,18.0646967850048,0.0480763810677836,0.323772401304441,0.146676014249409,0.111077705480687,0.00160472123648961,1,0,0.0480378167898584,,,
11cs,ps02,168,11,warm,0,cat,6,7.5,1.2,none,40,48,0,none,,20,2.7,0,cs,1,0,0,0,1.6431676725155,0,0,0,1,0,0,0,11cs,9240,FALSE,1,0,1,1,,,0.00598381787467872,,0.0214209975538557,1,3.06010384586708e-31,46.9717921174149,1.02820788258507,0.00598381787467872,0.00026396731942551,0.376342771772152,0.0158786853066665,0.000127383616695658,1,0,0.00598343676259291,,,
11cs,ps03,168,11,warm,0,cat,6,7.5,1.2,none,40,48,0,none,,20,2.7,0,cs,1,0,0,0,1.6431676725155,0,0,0,1,0,0,0,11cs,9240,FALSE,1,0,1,1,,,0.00305964004402259,,0.0655632614637523,1,3.55492202873804e-09,2.77527866149641,3.14703655026011,0.00305964004402259,0.0102895392549555,0.0553186000342169,0.0562856036059318,0.00109314957419841,1,0.0158489319246111,0.00303379488375005,100,0.0478069797858645,0.114212558318136
11os,ALFAM,168,11,warm,0,cat,6,7.5,1.2,none,40,48,0,none,,20,2.7,0,os,1,0,0,0,1.6431676725155,0,0,1,0,0,0,0,11os,9072,FALSE,1,0,1,1,0.188639041121374,4.83449873142028,3.07073427155136e-05,3.07073427155136e-05,0.183362460278479,,,,,,,,,,,,,,,
11os,ps01,168,11,warm,0,cat,6,7.5,1.2,none,40,48,0,none,,20,2.7,0,os,1,0,0,0,1.6431676725155,0,0,1,0,0,0,0,11os,9072,FALSE,1,0,1,1,,,0.0439295294746032,,0.243626852701771,1,9.6900933500264e-19,36.305911070315,11.694088929685,0.0439295294746032,0.12917479347156,0.146676014249409,0.111077705480687,0.00120925140317049,1,0,0.0439029739051616,,,
11os,ps02,168,11,warm,0,cat,6,7.5,1.2,none,40,48,0,none,,20,2.7,0,os,1,0,0,0,1.6431676725155,0,0,1,0,0,0,0,11os,9072,FALSE,1,0,1,1,,,0.0235463528290794,,0.17021358298275,1,1.01006955550877e-28,39.829748016828,8.17025198317198,0.0235463528290794,0.0871295114252626,0.376342771772152,0.0158786853066665,0.000591000363671547,1,0,0.0235393955628914,,,
11os,ps03,168,11,warm,0,cat,6,7.5,1.2,none,40,48,0,none,,20,2.7,0,os,1,0,0,0,1.6431676725155,0,0,1,0,0,0,0,11os,9072,FALSE,1,0,1,1,,,0.00434147838932031,,0.13570548320715,1,3.00268110780832e-08,2.38771128392353,6.51386319394319,0.00434147838932031,0.0869110626875687,0.0553186000342169,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00430327489928524,100,0.127765084218527,0.238945712619787
11ts,ALFAM,168,11,warm,0,cat,6,7.5,1.2,none,40,48,0,none,,20,2.7,0,ts,1,0,40,6,1.6431676725155,1,0,0,0,0,0,0,11ts,8904,FALSE,1,0,1,1,0.458814371083005,4.83449873142028,7.46874562757571e-05,7.46874562757571e-05,0.445980489472337,,,,,,,,,,,,,,,
11ts,ps01,168,11,warm,0,cat,6,7.5,1.2,none,40,48,0,none,,20,2.7,0,ts,1,0,40,6,1.6431676725155,1,0,0,0,0,0,0,11ts,8904,FALSE,1,0,1,1,,,0.0480763810677836,,0.376347849687599,1,2.42879025271519e-18,29.9353032149953,18.0646967850048,0.0480763810677836,0.323772401304441,0.146676014249409,0.111077705480687,0.00160472123648961,1,0,0.0480378167898584,,,
11ts,ps02,168,11,warm,0,cat,6,7.5,1.2,none,40,48,0,none,,20,2.7,0,ts,1,0,40,6,1.6431676725155,1,0,0,0,0,0,0,11ts,8904,FALSE,1,0,1,1,,,0.0197650323560623,,0.303469396252304,1,2.48081982971485e-10,33.4334689796413,14.5665310201106,0.0197650323560623,0.258909644928267,0.130771235641978,0.0158786853066665,0.000591000363671547,1,0,0.0197591923582114,,,
11ts,ps03,168,11,warm,0,cat,6,7.5,1.2,none,40,48,0,none,,20,2.7,0,ts,1,0,40,6,1.6431676725155,1,0,0,0,0,0,0,11ts,8904,FALSE,1,0,1,1,,,0.00363104728613806,,0.337842590994315,1,1.55972112792083e-06,1.9969525092814,16.2164443677271,0.00363104728613806,0.613594438864687,0.0434392977967239,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00359909262235906,100,0.271553993399784,0.421357103607018
12bc,ALFAM,168,12,hot,0,cat,6,7.5,1.2,none,40,48,0,none,,35,2.7,0,bc,1,0,40,6,1.6431676725155,0,1,0,0,0,0,0,12bc,9408,FALSE,1,0,1,1,0.961931939749867,2.62071591655402,8.71071169312732e-05,8.71071169312732e-05,0.947156768214559,,,,,,,,,,,,,,,
12bc,ps01,168,12,hot,0,cat,6,7.5,1.2,none,40,48,0,none,,35,2.7,0,bc,1,0,40,6,1.6431676725155,0,1,0,0,0,0,0,12bc,9408,FALSE,1,0,1,1,,,0.056786311029235,,0.565105134343681,1,4.48598629352671e-257,20.8749535515033,27.1250464484967,0.056786311029235,0.323772401304441,3.41872525317723,0.111077705480687,0.00271661503532042,1,0,0.0567092126796292,,,
12bc,ps02,168,12,hot,0,cat,6,7.5,1.2,none,40,48,0,none,,35,2.7,0,bc,1,0,40,6,1.6431676725155,0,1,0,0,0,0,0,12bc,9408,FALSE,1,0,1,1,,,0.0534161261878872,,0.483778422436675,1,0,24.7786357230396,23.2213642769604,0.0534161261878872,0.258909644928267,29.6652852965885,0.0158786853066665,0.00215341288111717,1,0,0.0533586333425037,,,
12bc,ps03,168,12,hot,0,cat,6,7.5,1.2,none,40,48,0,none,,35,2.7,0,bc,1,0,40,6,1.6431676725155,0,1,0,0,0,0,0,12bc,9408,FALSE,1,0,1,1,,,0.00188509924672786,,0.621988603729635,1,1.13634272203997e-77,1.03676078960254,29.8554529790225,0.00188509924672786,0.613594438864687,1.01844068873107,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00186851106764728,100,0.476811192995574,0.740074944104257
12bsth,ALFAM,168,12,hot,0,cat,6,7.5,1.2,none,40,48,0,none,,35,2.7,0,bsth,1,0,40,6,1.6431676725155,0,0,0,0,0,0,0,12bsth,9576,FALSE,1,1,1,1,0.555034729221263,2.62071591655402,5.02608064680832e-05,5.02608064680832e-05,0.546509455245612,,,,,,,,,,,,,,,
12bsth,ps01,168,12,hot,0,cat,6,7.5,1.2,none,40,48,0,none,,35,2.7,0,bsth,1,0,40,6,1.6431676725155,0,0,0,0,0,0,0,12bsth,9576,FALSE,1,1,1,1,,,0.05920200440519,,0.546604678385872,1,2.45345912544085e-66,21.7629754374781,26.2370245625219,0.05920200440519,0.323772401304441,0.804497316880361,0.111077705480687,0.00271661503532042,1,0,0.059121626286762,,,
12bsth,ps02,168,12,hot,0,cat,6,7.5,1.2,none,40,48,0,none,,35,2.7,0,bsth,1,0,40,6,1.6431676725155,0,0,0,0,0,0,0,12bsth,9576,FALSE,1,1,1,1,,,0.0190638742587339,,0.328178591799307,1,0,32.2474275936333,15.7525724063667,0.0190638742587339,0.258909644928267,4.77225596320823,0.0158786853066665,0.000591000363671547,1,0,0.0190582414353091,,,
12bsth,ps03,168,12,hot,0,cat,6,7.5,1.2,none,40,48,0,none,,35,2.7,0,bsth,1,0,40,6,1.6431676725155,0,0,0,0,0,0,0,12bsth,9576,FALSE,1,1,1,1,,,0.00243059918960498,,0.522062404889124,1,6.49446377066829e-17,1.33677308470349,25.0589954346779,0.00243059918960498,0.613594438864687,0.185713065520988,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00240921081193574,100,0.427926173384492,0.614300383716102
12cs,ALFAM,168,12,hot,0,cat,6,7.5,1.2,none,40,48,0,none,,35,2.7,0,cs,1,0,0,0,1.6431676725155,0,0,0,1,0,0,0,12cs,10080,FALSE,1,0,1,1,0.522329043309355,2.62071591655402,4.72991644959731e-05,4.72991644959731e-05,0.514306125165296,,,,,,,,,,,,,,,
12cs,ps01,168,12,hot,0,cat,6,7.5,1.2,none,40,48,0,none,,35,2.7,0,cs,1,0,0,0,1.6431676725155,0,0,0,1,0,0,0,12cs,10080,FALSE,1,0,1,1,,,0.05920200440519,,0.546604678385872,1,2.45345912544085e-66,21.7629754374781,26.2370245625219,0.05920200440519,0.323772401304441,0.804497316880361,0.111077705480687,0.00271661503532042,1,0,0.059121626286762,,,
12cs,ps02,168,12,hot,0,cat,6,7.5,1.2,none,40,48,0,none,,35,2.7,0,cs,1,0,0,0,1.6431676725155,0,0,0,1,0,0,0,12cs,10080,FALSE,1,0,1,1,,,0.0059837591315457,,0.0214306042628764,1,0,46.9713309953819,1.02866900461807,0.0059837591315457,0.00026396731942551,4.77225596320823,0.0158786853066665,0.000127383616695658,1,0,0.00598337802320061,,,
12cs,ps03,168,12,hot,0,cat,6,7.5,1.2,none,40,48,0,none,,35,2.7,0,cs,1,0,0,0,1.6431676725155,0,0,0,1,0,0,0,12cs,10080,FALSE,1,0,1,1,,,0.00304874877780659,,0.0681922660947929,1,1.08907505797839e-18,2.76539981193433,3.27322877255006,0.00304874877780659,0.0102895392549555,0.185713065520988,0.0562856036059318,0.00109314957419841,1,0.0158489319246111,0.00302299562690438,100,0.0503761999297125,0.154872822221336
12os,ALFAM,168,12,hot,0,cat,6,7.5,1.2,none,40,48,0,none,,35,2.7,0,os,1,0,0,0,1.6431676725155,0,0,1,0,0,0,0,12os,9912,FALSE,1,0,1,1,0.262607419550972,2.62071591655402,2.37802429222112e-05,2.37802429222112e-05,0.258573797721845,,,,,,,,,,,,,,,
12os,ps01,168,12,hot,0,cat,6,7.5,1.2,none,40,48,0,none,,35,2.7,0,os,1,0,0,0,1.6431676725155,0,0,1,0,0,0,0,12os,9912,FALSE,1,0,1,1,,,0.0618249488924292,,0.371460139938112,1,9.78851423230898e-67,30.1699132829706,17.8300867170294,0.0618249488924292,0.12917479347156,0.804497316880361,0.111077705480687,0.00204712847853968,1,0,0.0617616886766416,,,
12os,ps02,168,12,hot,0,cat,6,7.5,1.2,none,40,48,0,none,,35,2.7,0,os,1,0,0,0,1.6431676725155,0,0,1,0,0,0,0,12os,9912,FALSE,1,0,1,1,,,0.023463008358668,,0.173150687934023,1,0,39.6887669791669,8.3112330208331,0.023463008358668,0.0871295114252626,4.77225596320823,0.0158786853066665,0.000591000363671547,1,0,0.0234560757183629,,,
12os,ps03,168,12,hot,0,cat,6,7.5,1.2,none,40,48,0,none,,35,2.7,0,os,1,0,0,0,1.6431676725155,0,0,1,0,0,0,0,12os,9912,FALSE,1,0,1,1,,,0.00420535110835907,,0.157070992509464,1,9.19892215677606e-18,2.31284540759664,7.53940764045429,0.00420535110835907,0.0869110626875687,0.185713065520988,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.0041683455674556,100,0.142953187404136,0.36956591954099
12ts,ALFAM,168,12,hot,0,cat,6,7.5,1.2,none,40,48,0,none,,35,2.7,0,ts,1,0,40,6,1.6431676725155,1,0,0,0,0,0,0,12ts,9744,FALSE,1,0,1,1,0.638722807997555,2.62071591655402,5.78391256426114e-05,5.78391256426114e-05,0.628912094098054,,,,,,,,,,,,,,,
12ts,ps01,168,12,hot,0,cat,6,7.5,1.2,none,40,48,0,none,,35,2.7,0,ts,1,0,40,6,1.6431676725155,1,0,0,0,0,0,0,12ts,9744,FALSE,1,0,1,1,,,0.05920200440519,,0.546604678385872,1,2.45345912544085e-66,21.7629754374781,26.2370245625219,0.05920200440519,0.323772401304441,0.804497316880361,0.111077705480687,0.00271661503532042,1,0,0.059121626286762,,,
12ts,ps02,168,12,hot,0,cat,6,7.5,1.2,none,40,48,0,none,,35,2.7,0,ts,1,0,40,6,1.6431676725155,1,0,0,0,0,0,0,12ts,9744,FALSE,1,0,1,1,,,0.0191049293880141,,0.326731786475549,1,8.8477733655202e-122,32.3168742491737,15.6831257508263,0.0191049293880141,0.258909644928267,1.65825905508919,0.0158786853066665,0.000591000363671547,1,0,0.0190992844339893,,,
